Wavelength [nm],Background nominal [44 yrs],Modulation nominal [x0.25 44 yrs],Modulation nominal [x0.50 44 yrs],Modulation nominal [x1.00 44 yrs],Modulation nominal [x2.00 44 yrs],Background validated [32 yrs],Modulation validated [x0.25 32 yrs],Modulation validated [x0.50 32 yrs],Modulation validated [x1.00 32 yrs],Modulation validated [x2.00 32 yrs]
400,2.4054e-05,2.4137e-05,2.4221e-05,2.4388e-05,2.4722e-05,1.7824e-05,1.8657e-05,1.9398e-05,2.1963e-05,2.2332e-05
402,2.8682e-05,2.8665e-05,2.8648e-05,2.8615e-05,2.8548e-05,2.1506e-05,2.1758e-05,2.2996e-05,2.3542e-05,2.3772e-05
404,3.7862e-05,3.7607e-05,3.7352e-05,3.6842e-05,3.5822e-05,2.7992e-05,2.764e-05,2.9632e-05,3.0452e-05,2.892e-05
406,5.8078e-05,5.7448e-05,5.6817e-05,5.5556e-05,5.3034e-05,4.3676e-05,4.2588e-05,4.422e-05,4.4884e-05,4.1748e-05
408,9.5153e-05,9.3905e-05,9.2658e-05,9.0162e-05,8.517e-05,7.1108e-05,6.9796e-05,7.1216e-05,6.972e-05,6.502e-05
410,0.00014591,0.00014358,0.00014125,0.00013659,0.00012727,0.00011233,0.00010979,0.00011086,0.00010979,0.00010095
412,0.00023001,0.00022576,0.00022151,0.00021301,0.00019601,0.00017622,0.00017272,0.0001727,0.00016757,0.00015536
414,0.00033016,0.00032322,0.00031627,0.00030238,0.0002746,0.0002592,0.00025284,0.00025032,0.00023912,0.00022304
416,0.00045375,0.00044309,0.00043243,0.0004111,0.00036845,0.00035964,0.00034892,0.00034404,0.00033004,0.00029956
418,0.0005928,0.00057727,0.00056173,0.00053067,0.00046854,0.000481,0.00046712,0.00045796,0.0004344,0.0003886
420,0.00072547,0.00070473,0.000684,0.00064252,0.00055957,0.00060632,0.00058856,0.00057384,0.00054032,0.00047788
422,0.00081093,0.00078578,0.00076064,0.00071036,0.00060979,0.00070936,0.00068668,0.00066636,0.00062404,0.00054276
424,0.00084554,0.00081722,0.00078889,0.00073224,0.00061894,0.00077408,0.00074676,0.00072372,0.00067284,0.00057532
426,0.00083903,0.00080876,0.00077849,0.00071796,0.00059689,0.0007964,0.0007668,0.00074068,0.00068252,0.0005716
428,0.00079633,0.00076559,0.00073485,0.00067337,0.00055041,0.00077196,0.00074068,0.0007124,0.00065312,0.00053684
430,0.00071657,0.00068683,0.00065709,0.00059761,0.00047866,0.00071412,0.00068244,0.00065592,0.00059748,0.00048204
432,0.00060432,0.00057752,0.00055072,0.00049712,0.00038992,0.00062364,0.00059412,0.00056836,0.0005138,0.00040728
434,0.0004703,0.00044817,0.00042605,0.0003818,0.0002933,0.00051052,0.00048432,0.00046244,0.00041444,0.00032172
436,0.00032734,0.0003111,0.00029485,0.00026237,0.00019741,0.00038356,0.00036204,0.00034492,0.0003066,0.0002342
438,0.00020241,0.00019159,0.00018077,0.00015913,0.00011585,0.00025688,0.00024156,0.00022848,0.0002018,0.00015
440,0.00012413,0.00011656,0.00010899,9.3848e-05,6.3561e-05,0.00015483,0.00014379,0.00013582,0.0001168,8.3652e-05
442,9.2499e-05,8.6017e-05,7.9536e-05,6.6572e-05,4.0645e-05,0.00010138,9.3204e-05,8.7116e-05,7.2784e-05,4.7432e-05
444,8.8637e-05,8.2152e-05,7.5667e-05,6.2696e-05,3.6755e-05,8.824e-05,8.1192e-05,7.5492e-05,6.2064e-05,3.8652e-05
446,8.9806e-05,8.2991e-05,7.6177e-05,6.2547e-05,3.5289e-05,8.9472e-05,8.2532e-05,7.5764e-05,6.1476e-05,3.772e-05
448,9.6155e-05,8.8863e-05,8.1571e-05,6.6986e-05,3.7817e-05,9.6088e-05,8.7936e-05,8.086e-05,6.628e-05,4.0284e-05
450,0.00010647,9.8681e-05,9.0891e-05,7.5311e-05,4.4151e-05,0.00010461,9.5544e-05,8.8684e-05,7.2816e-05,4.3916e-05
452,0.00011097,0.00010283,9.4686e-05,7.8401e-05,4.5831e-05,0.00010988,0.00010117,9.38e-05,7.836e-05,4.8264e-05
454,0.00011591,0.00010785,9.9784e-05,8.3658e-05,5.1405e-05,0.00011218,0.00010425,9.6252e-05,8.2056e-05,5.2644e-05
456,0.00012198,0.00011418,0.00010637,9.0768e-05,5.9557e-05,0.00011752,0.00011046,0.00010211,8.7484e-05,6.0752e-05
