Wavelength [nm],Background nominal [28 yrs],Modulation nominal [x0.25 28 yrs],Modulation nominal [x0.50 28 yrs],Modulation nominal [x1.00 28 yrs],Modulation nominal [x2.00 28 yrs],Background validated [32 yrs],Modulation validated [x0.25 32 yrs],Modulation validated [x0.50 32 yrs],Modulation validated [x1.00 32 yrs],Modulation validated [x2.00 32 yrs]
548,0.00044191,0.00041215,0.0003824,0.00032289,0.00020388,0.00040344,0.00038014,0.0003517,0.00029994,0.00019089
550,0.00044774,0.00041794,0.00038815,0.00032856,0.00020937,0.00040986,0.00038586,0.00035764,0.0003056,0.00019596
552,0.00045777,0.00042771,0.00039764,0.00033752,0.00021727,0.00041796,0.00039322,0.0003653,0.0003127,0.00020157
554,0.0004686,0.00043799,0.00040738,0.00034616,0.00022372,0.00042634,0.00040132,0.0003733,0.0003205,0.00020936
556,0.00047698,0.00044627,0.00041555,0.00035412,0.00023125,0.00043424,0.00040912,0.0003811,0.00032798,0.00021676
558,0.00048595,0.00045526,0.00042457,0.00036318,0.0002404,0.00044336,0.00041796,0.00039036,0.00033698,0.00022528
560,0.00049584,0.00046503,0.00043423,0.00037263,0.00024942,0.00045426,0.00042854,0.00040084,0.00034676,0.000235
562,0.0005082,0.00047755,0.0004469,0.00038561,0.00026301,0.0004657,0.00044008,0.00041228,0.00035824,0.00024702
564,0.00052184,0.00049147,0.0004611,0.00040036,0.00027888,0.00048004,0.00045484,0.0004274,0.0003736,0.00026312
566,0.0005603,0.00053033,0.00050035,0.00044041,0.00032052,0.00050526,0.00048012,0.00045354,0.0003993,0.00028982
568,0.00067478,0.00064648,0.00061818,0.00056159,0.0004484,0.00057406,0.00054962,0.00052382,0.0004714,0.00036566
570,0.00099635,0.00097265,0.00094894,0.00090153,0.0008067,0.00077682,0.00075466,0.00073242,0.00068488,0.00059152
572,0.0016609,0.0016467,0.0016325,0.001604,0.0015472,0.0012477,0.0012324,0.001217,0.0011837,0.0011193
574,0.0027327,0.0027343,0.0027358,0.002739,0.0027452,0.0021238,0.0021214,0.0021189,0.0021119,0.0021013
576,0.0041052,0.0041272,0.0041492,0.0041933,0.0042813,0.0033426,0.0033582,0.0033738,0.0034054,0.0034682
578,0.005524,0.0055676,0.0056111,0.0056982,0.0058725,0.0045874,0.0046236,0.0046578,0.0047292,0.0048682
580,0.0069987,0.0070654,0.0071322,0.0072656,0.0075325,0.005861,0.0059194,0.0059718,0.0060866,0.006304
582,0.0084615,0.0085518,0.008642,0.0088225,0.0091836,0.0071202,0.0072014,0.0072718,0.007431,0.0077262
584,0.0099151,0.01003,0.010144,0.010373,0.010832,0.008323,0.0084266,0.0085132,0.0087166,0.0090864
586,0.011294,0.011434,0.011575,0.011856,0.012418,0.009468,0.0095958,0.0096984,0.0099478,0.01039
588,0.011893,0.012051,0.012208,0.012523,0.013153,0.010185,0.010329,0.010444,0.010725,0.011219
